object_class,GlobalId,HintSyncState,IFromPhyNode,IMapExpr,IOwnerPhyNode,IPhyExpr,IRmExprRef,IToPhyNode,PushedByHint,RefExprQualName
SnpPhyExpr,e2df3b20-5521-4577-ba82-8c2b9d003b3f,null,null,982208,175591,675708,null,null,0,null
SnpPhyExpr,00958864-2afa-4a3a-8e30-282e6925e6c7,null,null,982213,175591,675709,null,null,0,null
SnpPhyExpr,75f34441-7a49-4a41-b7fa-e385a6bfff5c,null,null,982207,175591,675707,null,null,0,null
SnpPhyExpr,38b3648b-ea5a-4ca7-b77e-a4a710322c3e,null,null,982215,175591,675706,null,null,0,null
